Accel_X_Mean,Accel_X_RMS,Accel_X_Peak_Freq,Accel_Y_Mean,Accel_Y_RMS,Accel_Y_Peak_Freq,Accel_Z_Mean,Accel_Z_RMS,Accel_Z_Peak_Freq,Gyro_X_Mean,Gyro_X_RMS,Gyro_X_Peak_Freq,Gyro_Y_Mean,Gyro_Y_RMS,Gyro_Y_Peak_Freq,Gyro_Z_Mean,Gyro_Z_RMS,Gyro_Z_Peak_Freq,Label
0.0,0.0,0.0,-8.215022366144719e-19,1.1658201950183865e-16,5.0,9.3052638303701e-18,5.531248493717901e-17,5.0,0.006531501709970489,0.04409232066042103,3.75,-0.00103606746068502,0.013944149715313523,3.75,-0.00013828712917354977,0.01571945986877437,3.75,Baseline
0.0,0.0,0.0,-1.9685222608317902e-17,1.8387937873809817e-16,3.75,4.05463463674815e-18,7.186268783292548e-17,5.0,-0.002764264708786101,0.04902716670445344,3.75,0.0023351143612189195,0.025286142133189842,3.75,0.0006791130033816199,0.012227271428014363,5.0,Baseline
0.0,0.0,0.0,-8.730027171886221e-18,1.755147791028225e-16,5.0,-1.385145664679707e-17,1.5703721945892957e-16,3.75,-0.005372763772731828,0.03777350895667544,3.75,0.00038875588441918894,0.024902432402051988,2.5,0.0029205629247566105,0.014975527634004112,3.75,Baseline
0.0,0.0,0.0,1.289939693655998e-17,1.2802374870432826e-16,3.75,-1.9705326505031752e-17,1.7183791580414265e-16,5.0,0.0034017890944139607,0.024027477819799952,3.75,-0.0025518116740427,0.01997608087152033,3.75,0.00228138556776908,0.016382403412280113,3.75,Baseline
0.0,0.0,0.0,6.581526297562796e-18,1.0304780201211408e-16,3.75,1.118371634976696e-17,1.8460407370790536e-16,5.0,0.0007268668773385896,0.022374856903767566,3.75,0.0001519074457595498,0.017259178391024324,2.5,-0.00395620036578345,0.021391980188874282,3.75,Baseline
0.0,0.0,0.0,-4.868198427261517e-18,2.415264301373087e-17,3.75,1.8577325440049002e-17,1.7033290179522476e-16,3.75,0.00027333605764411,0.02197671250238788,3.75,-0.0003136057849370499,0.011950854033240628,1.25,-0.0015289288864079997,0.02578091807146257,2.5,Baseline
0.0,0.0,0.0,6.2521183588369905e-18,8.47001556044998e-17,3.75,-8.688333891723242e-18,9.729073512570141e-17,5.0,0.0003300630230022304,0.02152665975574276,3.75,0.0017327339511186601,0.017427790121716552,2.5,0.0024323340938804104,0.024366002875739305,2.5,Baseline
0.0,0.0,0.0,8.837389614008214e-18,9.03917747579399e-17,5.0,-1.1716755861103699e-17,9.996793261601982e-17,5.0,-0.0006911571363800297,0.019720271592896643,2.5,0.0018390262043461597,0.016175216526775168,2.5,-0.00073269715962288,0.02537863240038532,3.75,Baseline
0.0,0.0,0.0,-1.2940596536301956e-17,1.4961717941430292e-16,3.75,9.947582750645977e-18,1.3900923760655413e-16,3.75,-0.0032572293088891898,0.02698676022683274,2.5,-0.001233681562040432,0.006543963765400827,5.0,0.0011595774082000898,0.021011612697982823,5.0,Baseline
0.0,0.0,0.0,-1.7636436071974674e-17,1.7305782708187132e-16,5.0,7.293286620988533e-18,1.3051568724554117e-16,3.75,0.0020167107694275504,0.03304617518422344,2.5,-0.00039158262373591174,0.0017984451398252164,3.75,0.00023850351712597986,0.014657659987304793,3.75,Baseline
0.0,0.0,0.0,7.847680169603821e-18,1.5111164018113645e-16,5.0,-1.0953147568590804e-17,5.714177197273351e-17,5.0,0.0033020726772184207,0.02418787117413037,2.5,-4.099495139297999e-05,0.001888848814650289,5.0,-0.0028740029215235303,0.01312795784831365,3.75,Baseline
0.0,0.0,0.0,1.8212844129295436e-17,1.3283311686378574e-16,3.75,-6.763104764946524e-18,8.720038784957706e-17,5.0,-0.0014452796538294492,0.016992987781502007,1.25,0.00294879752241522,0.016353608743552274,1.25,-0.0005344139774668702,0.012794878336583385,3.75,Baseline
0.0,0.0,0.0,5.041410487285421e-18,8.543435026356323e-17,5.0,9.640383427505524e-18,1.4127799153964334e-16,3.75,-0.0002224416503305595,0.019117868504245666,2.5,0.0015127686374175405,0.024469194176511853,2.5,-0.00037839919960447,0.013705850563636508,5.0,Baseline
0.0,0.0,0.0,-4.713399707985873e-18,8.280149354194692e-17,3.75,1.884937030518651e-17,1.5532879238755106e-16,3.75,-0.006231840966994509,0.0443818828721703,3.75,-0.0012093609839098594,0.027348447277718506,2.5,-0.00115841757790552,0.015447544603966044,3.75,Baseline
0.011164043039048065,0.2666906983844458,2.5,0.01208493314808264,0.6656123437142389,2.5,-0.011782041050980652,0.7833054317907114,2.5,-7.9949602005869265,97.75732052949422,3.75,21.789268944038103,132.7064121063464,2.5,-19.049996397679287,142.44223848348176,2.5,Fast_Shake
-0.07852832705469306,0.6463607377956196,2.5,-0.06798045266383837,0.6243984979753975,2.5,-0.18039844117124967,1.0366544818794752,2.5,17.749694584255792,110.20587131723046,2.5,-5.744494713877685,143.10764856611692,2.5,-10.752734058979316,74.7380427922819,2.5,Fast_Shake
0.029547548157757998,0.8204492387062822,2.5,-0.05824972972688236,0.5148632358566703,3.75,0.0027967507586187574,1.15549548605984,2.5,22.670218138801996,101.3790161373179,3.75,3.2054989131458713,159.38772231855492,2.5,4.675119456972597,60.33025356143335,2.5,Fast_Shake
0.06245904299284932,0.5472016086019601,2.5,0.00927946025748021,0.2855233270987159,2.5,0.06650280761463831,0.8041211988089491,2.5,-16.58301197673359,140.78712291390607,2.5,10.76191793248822,127.87995873523175,3.75,11.711056052362594,101.65827203028478,3.75,Fast_Shake
0.002917366668859869,0.2361190422896444,1.25,-0.06251592484057791,0.5923444729007236,3.75,-0.028215828664257193,0.2773223875132917,3.75,-10.816053135547474,214.24790575813446,2.5,-19.594664876096914,82.0705306341259,2.5,14.459446352167314,115.56222977244579,2.5,Fast_Shake
0.043179509099724345,0.4193872708466756,3.75,0.04107181022859559,0.9260526509399246,2.5,0.08130955245676368,0.43260622187341913,3.75,1.5803673211613443,253.45703048062344,2.5,4.321066601930531,68.34363203798776,2.5,-13.656354310010585,144.61142077186275,2.5,Fast_Shake
0.03741708087687967,0.8472824764669251,3.75,0.0667629306225358,0.812225573897753,2.5,0.08350010677824429,0.9135481347484516,3.75,6.12882171625961,204.6499325356786,3.75,-5.234320361754873,188.12516566644283,3.75,-22.03680651074088,138.71747972223818,3.75,Fast_Shake
